what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427850947845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427850956640
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1427850958968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1427850960234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1427850962234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427850963531
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1427850966360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427850969157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427850991845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427850994815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851006784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427851021192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851059504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851064364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851082455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851084127
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1427851264067
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1427851264098
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1427851268770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851288951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851291826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851292138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851439503
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1427851441193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1427851442943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427851445833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851447279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851461227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427851494874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852025033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852062268
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1427852081938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852083094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852086219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852087188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852092969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852108212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852164110
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1427852177557
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1427852177557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852190532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852197337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852204287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852209725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852223038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852249829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852302813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852386940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852405815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852420159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852430269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852454649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852470931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1427852475509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852477697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852483790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852485634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1427852488681
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1427852574425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1427852576472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852592020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1427852592239
