what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525043159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525052002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525052101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525059786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525259940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525262243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525279681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525298711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525301252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525417733
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431525418512
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525419083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525445701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525447411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525451493
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431525453707
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525454402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525489365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525498685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525508690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525510338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525540272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1431525544665
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431525545544
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431525546626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1431525548759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525549743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525551733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525559959
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431525561411
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525564819
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1431525571406
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1431525571480
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525588527
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1431525592238
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525593738
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1431525598117
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525601866
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431525639377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525677191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525701326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525703508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525710755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525726766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525727949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525735292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525740690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525742071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525750058
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431525751210
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525751763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431525832714
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431525833351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525834039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525910553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525920212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525920344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431525928763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525930438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431525934179
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431525937153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431525937733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1431526002405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431526004212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526004665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1431526042678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1431526045652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526048530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431526059482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526062243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526063446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526070481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526078194
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431526079553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526081194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526093661
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431526096975
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431526105674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1431526108520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1431526113500
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431526115468
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1431526117230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526118112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526119282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1431526120353
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1431526128023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1431526131984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1431526145975
