what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1407376556006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1407376570679
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1407376578416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376582236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376584011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376584415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376584747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376584885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376585559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376585929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376586589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376591314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376591431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376591558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376593136
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407376593536
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1407376599459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376605013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376612223
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407376612266
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1407376613940
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1407376632745
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1407376632773
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407376633741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376640371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376664542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376673023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376676316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1407376677575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376682594
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1407376683836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407376695604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376708527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376716078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376719547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376724596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376734580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376765860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376769154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376770827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1407376803519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376807733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376813126
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1407376815027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376817321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376818324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376818602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376818789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376818953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376819103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376819289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376820248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376821550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376821929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376822136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376822633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376822886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376823025
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376823269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376823493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376823658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1407376824007
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407376839254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376857264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376866595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407376870906
