what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1426685874027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426685878443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426685885882
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426685885993
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426685886066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426685901013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426685903269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426685906979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426685988605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686014789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686027464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426686082229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426686084906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686092883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686094812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686104473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686107897
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1426686107930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426686141366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686157404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686159887
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1426686159922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426686172022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686172868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686176167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426686198191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426686208202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426686220775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426686225342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686277604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686280896
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1426686286211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426686350494
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1426686370759
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1426686378038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686405364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686405504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1426686407368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686409708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426686409837
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1426686413969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1426686420637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1426686422778
