what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430267958007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430267960840
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1430267975952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430267976788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268063214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268068985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268088598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1430268090210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268099030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268118198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268135377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268136333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268142360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268146254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268147043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268157801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268162668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268174667
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1430268216507
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268218725
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268218779
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1430268221075
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268221310
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268221367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268280838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268335205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268345963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268346605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268347739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268377881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268412647
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268413090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1430268414561
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1430268416522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1430268419507
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430268433069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268449114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430268449216
