what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913643939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913647399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400913677541
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1400913679602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913680735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913707461
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400913707639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913736756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913768644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400913789072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913791648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913798088
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1400913798269
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400913798963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913800059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913801975
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400913803531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913826234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913828082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913828907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913829352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913829599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913831558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913832275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913846558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913930961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400913956156
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1400914000913
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400914001151
