what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534566710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534568781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534571764
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1399534575585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534585946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534590240
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534591941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399534598495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534600277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534601609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1399534603512
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534619443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534652282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534673603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1399534679655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1399534681956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399534686931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534688124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534689338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534723521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534728064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399534733891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534735443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534736746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534776940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534778294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399534790779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534792531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534793705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534835361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534868321
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534872854
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534878439
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534889148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399534910704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534912571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534913656
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534917268
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399534918278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534919328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534933946
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1399534936304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534939393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534994253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1399534994284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1399534994284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399534996694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535019227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535020511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535025776
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535029786
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535031188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1399535044988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535046506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535048375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1399535050552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535052064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535114056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535130743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1399535136620
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535140123
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535140154
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535140154
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1399535140836
