what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098232469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098247622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098291255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098294064
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1401098296369
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1401098298949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098301740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098311702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098318102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098335213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098336454
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401098352757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098373312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098374895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098376173
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098376180
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098388664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098396047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098397688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098399223
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098399231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098413317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098424352
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098424363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1401098426540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098453391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098460853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1401098477291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098485716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098498371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098504686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098517355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098518717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098535473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098544080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098545842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098547660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098548006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098553653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098558212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098569492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098593441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098608134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098609781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098611260
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098611267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098617042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098633942
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098633954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098646711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098648121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098649586
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098649594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098664162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098672123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098673435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098678477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098680210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098683774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098685354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098724757
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098724769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098730107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098790258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098825929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098836753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098848922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098855978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098863341
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401098864940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098878121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098879721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098909720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098928609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098929841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098931367
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098931374
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098939917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098941911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098943147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098956683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401098968051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098969512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098970736
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401098970743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098976768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401098985564
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401098985575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401098995258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099038835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099040135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099041664
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401099041672
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401099049243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099063563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099064610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099070529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099071719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099132649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099159327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099164111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099179957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099185215
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1401099185239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099186853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099190144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099195360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099216430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099226183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099255366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099268991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099270352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099272495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099292000
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1401099345774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099373766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099445005
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401099452159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099459221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1401099477423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1401099481204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099484093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099485241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099492838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099504309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099505390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099513053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099532188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099533670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099543545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099547475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099548751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099550815
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401099550822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099556100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099569096
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401099569107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1401099572191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099574148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099575743
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1401099575751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099583451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099586805
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401099589984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1401099610247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099625332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099628628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099658915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099661516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099723379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099726076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099788283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099790323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1401099820090
