what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1426918249377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918249913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426918284836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918287964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918292426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918311833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918321759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918343336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918368865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918378406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918397401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918406835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918414198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1426918419552
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1426918432349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426918441891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918463926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918468305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1426918477626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918480300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918484881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918489367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918489537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918497470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918502079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918521560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918531830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918531958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918536867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1426918542141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918544861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918552217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918556960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1426918563416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918568920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426918571375
